No.,Nama Perusahaan,Alamat,Merek,Tahun Sertifikasi Awal,No Sertifikat SPPT SNI Terbaru,No HP,Keterangan
13,CV Mazna Ehsan,"Jl. Agus Salim, Gampong Ie Meulee, Kec. Sukajaya, Kota Sabang, Provinsi Aceh ",Naffan,2016,,wa.me/08126986597,Muntazudin
14,PT 'Aini Sejahtera,"Jl. Pangkalan Brandan, No. 1A, Komplek Perumahan PT Perta Arun Gas (PAG), Kel. Batuphat Barat, Kec. Muara Satu, Kota Lhokseumawe",Ainiqua,2016,,wa.me/0811679170,Anwar Yacob
,,,,,,wa.me/082281418336,Nanda
15,PT Pupuk Iskandar Muda,"Jl. Medan-Banda Aceh, Krueng Geukuh Kabupaten Aceh Utara",PUPUK ISKANDAR MUDA,2017,,wa.me/0813-6011-7522,Fachrian
,,,PUPUK INDONESIA HOLDING COMPANY,,,,
,,,PUPUK INDONESIA HOLDING COMPANY NITREA,,,,
16,CV Tirta Aqia Jaya Radieness Indoperkasa,"Kampung Suka Ramai Atas Kecamatan Wih Pesam, Kabupaten Bener Meriah, Provinsi Aceh",Aqia,2017,,wa.me/085260404407,Buchari
17,CV Ie Dingen Beuna Usaha,"Gampong Batee Tunggai, Kecamatan Samadua, Kabupaten Aceh Selatan, Provinsi Aceh",Ie Dingin,2017,,wa.me/085261075559,No Name
,,,,,,wa.me/082232211697,Fathurrahman
18,CV Doa Bunda,"Jl. Banda Aceh-Medan Gampong Karieng, Kecamatan Grong-Grong, Kabupaten Pidie",DB-Q,2017,,wa.me/081360026029,Zamzami
19,CV Ukhra Jaya,"Jl. Pesantren, Desa/Kelurahan Seunaloh, Kec. Blang Pidie, Kab. Aceh Barat Daya, Provinsi Aceh","Abdya
Ie Leupie
Ie Gleh",2017,,wa.me/085262328899,Yanti
20,CV Lima Utama,"Jl.Banda Aceh - Medan,Gampong Tibang Kecamatan Pidie Kabupaten Pidie",Q-Aisya,2017,,wa.me/082267737442,Arsalan
21,CV Auza Jaya,"Jl. Kembang Tanjung, Gampong Beureueh II, Kec Mutiara Timur, Kab. Pidie, Provinsi Aceh",Q-Auza,2018,,wa.me/085288261125,Syukri
22,PT Langini Jaya Group,"Jl. Prada Utama Lr. Keunari AMBA, No. 3, Gampong Lamgugop, Kec. Syiah Kuala, Banda Aceh, Provinsi Aceh ",Langini,2018,,wa.me/082318104030,PT. Langini Jaya Group
23,CV Citra Indah,"Gampong Jojo, Kecamatan Mutiara Timur, Kab. Pidie, Provinsi Aceh",IeCITRA,2023,,wa.me/0813-7010-5115,Nisa
24,CV Agaz Water,"Jl. Wedana, No. 126-127, Kel. Mibo, Kec. Banda Raya, Kota Banda Aceh, Provinsi Aceh",Agaz,2018,,wa.me/0811-6848-877,Mirza Sadliu
25,CV Hidup Dua Orang (H2O),"Jl. Nasional Banda Aceh - Medan, Desa Grong-Grong, Kec. Grong-Grong, Kabupaten Pidie, Provinsi Aceh",AAq,2018,,wa.me/085319082361,Darmadi
26,CV Tirta Nagan Lestari,"Jl. Keucik Intan, GP. Padang Panyang, Kec. Kuala Pesisir, Kabupaten  Nagan Raya",KUAYAPDES,2018,,wa.me/081370670544,Calvin
27,PT Ima Montaz Sejahtera,"Jalan Pelabuhan Umum No. 6A, Gampong Blang Naleung Mameh, Kec. Muara Satu, Kota Lhokseumawe","Mount Drink
Mountaqua",2018,,wa.me/08116821321,Harun
28,CV Amiqu,"Jl. Flamboyan No. 10 RT. 19 BTN Sungai Pauh, Kec. Langsa Barat, Kota Langsa",Amiqu,2018,,wa.me/085213348747,M. Jamil
29,CV Athaya Mineral,"Jl. Lilawangsa Dusun II Aloe Saboh, Kel. Geudubang Aceh, Kec. Langsa Baro, Kota Langsa, Prov. Aceh","Tari
Rara",2018,,wa.me/082362230263,Bayu
30,CV Alam Riza Lestari,"Jl. Swadaya, Kampung Penanggalan, Kec. Penanggalan, Kota Subulussalam, Provinsi Aceh.",ARL,2019,,wa.me/085760733775,Rahman
31,CV Isga Jaya,"Gampong Cut, Kecamatan Titeue, Kabupaten Pidie, Provinsi Aceh",INA-Q,2019,,wa.me/082299492431,Iskandar
32,CV Sumber Baru Jaya,"Jl. Pendidikan, Gampong Kuta Tinggi, Kec.Blangpidie, Kabupaten Aceh Barat Daya, Provinsi Aceh",Ie Dikila,2020,,wa.me/082299965324,Rizan
33,CV Dua Prima Lestari,"Jl. PU Blangpidie - Banda Aceh, Desa Pulau Kayu, Kec. Susoh, Kab. Aceh Barat Daya, Provinsi Aceh",Adant,2020,,wa.me/085262383705,Yasar
34,CV Alfatar Jaya,"Jl. Banda Aceh - Medan Km. 9,5, Gp. Lampreh Lamteungoh, Kec. Ingin Jaya, Kab. Aceh Besar, Provinsi Aceh",Oatar,2020,,wa.me/085361492828,Mulyadi
35,PT Karya Amanah Endatu,"Jl. Keuchik Intan, Kel. Padang Panyang, Kec. Kuala Pesisir, Kab. Nagan Raya, Provinsi Aceh",Ie Cleen,2020,,wa.me/085277282584,Taufiq
36,CV Saqua Pasee,"Jl. Medan - Banda Aceh Km. 287, Kel. Mancang, Kecamatan Samudera, Kab. Aceh Utara , Provinsi Aceh","Ie RO
RAW",2020,,wa.me/085373642046,Martunis
37,CV Dhiet Lambarona,"Gampong Lambaro Kueh Kecamatan Lhoknga Kab. Aceh Besar, Provinsi Aceh",Dhiet,2020,,wa.me/082360871992,Alaidin
38,BUMG Ie Beudoh,"Jl. Mata Air, Gampong Ie Beudoh, Kec. Seunagan Timur, Kab. Nagan Raya, Provinsi Aceh",Ie Beudoh,2020,,wa.me/085277536823,Ramazana
39,CV Tuah Darussalam,"Jl. Banda Aceh-Medan, Dusun Lueng Ie, Desa Reuhat Tuha, Kec. Sukamakmur, Kab. Aceh Besar, Provinsi Aceh
Jl. Banda Aceh - Medan Km. 16, Desa Reuhat Tuha, Kec. Sukamakmur, Kab. Aceh Besar, Provinsi Aceh",Nur Qua,2020,,wa.me/0852-6023-8976,Heri Syahputra
40,CV Quaku Dras Biru,"Kampung Blang Kolak II, Kel, Blang Kolak, Kec. Bebesen, Kab. Aceh Tengah, Provinsi Aceh
Jl. Yos Sudarso, Kel. Blang Kolak II, Kec. Bebesen, Kab. Aceh Tengah, Provinsi Aceh","LAUTA
Q-DRAS",2021,,wa.me/081362991977,Azhari
41,CV Cahaya Tawi,"Jl. Prof A, Majid Ibrahim No. 9, Kecamatan Kota Sigli, Kabupaten Pidie, Provinsi Aceh",Sareng,2021,,wa.me/082275555500,Fadli
42,Koperasi Produsen Pesantren Darussalam Al Waaliyyah,"Jl. Syeikh Mudawaly Al-Khalidy No.1 Labuhanhaji Barat Kab. Aceh Selatan, Provinsi Aceh",Ie Tanyoe,2021,,wa.me/082275801726,Helmi
43,UKM Garam Get,"Jl. Dusun Kandang, Desa Gampong Pande, No. 11 Kecamatan Kuta Raja, Banda Aceh, Provinsi Aceh",Get Garam,2022,,"wa.me/089505047475 
Tansri",TIDAK PERNAH SURVEILEN (Berakhir 24 Juli 2026)
44,UKM Garam Mon Kuta,"Dusun T. Umar, Desa Pasi, Kecamatan Lhoung, Kab. Aceh Besar, Provinsi Aceh",Garam Mon Kuta,2022,,"wa.me/082274618563 
M. Hatta",TIDAK PERNAH SURVEILEN (Berakhir 24 Juli 2026)
45,PT Mawar Indah Sejahtera,"Jl. Tgk. Chik Pante Kulu, Lr. Melati, No 10, Kec. Kutaraja, Kota Banda Aceh, Provinsi Aceh",Rosweet,2022,,wa.me/082329199696,Taufiq
46,Koperasi Produsen Pesantren Maisarah Yayasan Ummul Ayman,"Jl. Mesjid Raya Km. 1.4, Desa Gampong Putoh, Kec. Samalanga, Kab. Bireun, Provinsi Aceh",Umaysa,2022,,wa.me/085296367229,Husnul Arif
47,PT. Widuri Jaya Prima,"Dusun Damai, Desa Meunasah Tutong, Kec. Lhoksukon, Kabupaten Aceh Utara, Provinsi Aceh
Jl. KKA, Desa Burni Pase, Kecamatan Permata, Kabupaten Bener Meriah",PENAWA,2022,,wa.me/08116710105,Saifullah
48,CV. ATAGATA INDO SEJAHTERA,"Jl. Banda Aceh-Medan Km.41.5, Kel. Seuneubok, Kec. Seulimum, Kabupaten Aceh Besar, Provinsi Aceh","TERA
JEB",2022,,wa.me/085260273845,Yasril
49,BUMG Timoh Beusaree,"Jl. H. M Saleh, Desa Lambhuk, Kec. Ulee Kareng,  Kota Banda Aceh, Provinsi Aceh
Jl. Mon Kuta No. 99, Gp. Lambhuk, Kecamatan Ulee Kareng, Kota Banda Aceh, Provinsi Aceh",G.O-TB,2022,,wa.me/08126909317,Aiyub
50,PT Moun Pantee Berkah,"Jl. Lukman No.37, Desa Meudang Ara, Kec. Blangpidie, Kab. Aceh Barat Daya, Provinsi Aceh
Jl. Rumah Potong, Dusun IV, Desa Keude Siblah, Kec. Blangpidie, Kab. Aceh Barat Daya, Provinsi Aceh",Moun Pantee,2023,,wa.me/08116319025,Mutia
51,CV Laenta,"Jl. Pendidikan, Kp. Rimo, Kecamatan Gunung Meriah, Kab. Aceh Singkil",Laenta,2023,,wa.me/082156395377,Daman Huri
52,CV Dayah Darul Ihsan,"Komplek Dayah Darul lhsan, Desa Siem, Kec. Darussalam, Kab. Aceh Besar, Provinsi Aceh.",Moyaa,2023,,wa.me/085260006474,Masykur
53,BUMG MADAT MANDIRI,"Jl. Pangan I, Gampong Madat, Kecamatan Samadua, Kab. Aceh Selatan, Provinsi Aceh",MD Water,2023,,wa.me/082277927039,Sumita
54,CV M R Barakah,"Jl. Bireuen - Takengon, Desa Juli Mee Teungoh, Kec. Juli Kab. Bireuen, Provinsi Aceh",Ie Jereneh,2023,,wa.me/081375049781,Miswar
55,BUMDES BAN TIMOEH,"Jl. Tibang - Krueng Raya, Gampong Seuriweuk, Kec. Pidie, Kab. Pidie, Provinsi Aceh
Jl. Banda Aceh-Medan, Gampong Kampong Baro, Kec. Pidie, Kab. Pidie, Provinsi Aceh",SRI-Q,2023,,wa.me/082260092210,Robi
56,CV. PEUNALOM JAYA,"Jl. Prof. A. Majid Ibrahim No.3, Kel. Cot Teungoh, Kec. Pidie, Kab. Pidie, Provinsi Aceh
Gampong Peunalom 1, Kecamatan Tangse, Kab. Pidie, Provinsi Aceh",MON DRILL,2023,,wa.me/082183301112,Halimah
57,CV Kumbang Jaya,"Dusun Teungku Leube Ali, Desa Cot Kumbang, Kec. Baktiya, Kab. Aceh Utara, Provinsi Aceh",Ie Tabeu,2024,,wa.me/085277407741,Razali
58,CV INTI AIRO PERKASA,"Jl. Laksamana Malahayati KM. 9,5, Desa Cot Paya, Kec. Baitussalam, Kab. Aceh Besar, Provinsi Aceh",airolife,2024,,wa.me/082372727388,Rizal Fahmi
59,CV PELITA JAYA SIBREH,"Desa Lampisang, Kec. Sukamakmur, Kab. Aceh Besar, Prov. Aceh",3Saudara,2024,,wa.me/085260059790,Syamsuar
60,CV Berkah Baba,"Jl. Beureunun - Tangse Km. 6, Desa Lingkok, Kec. Titeue, Kab. Pidie, Provinsi Aceh",Titép,2024,,wa.me/085262621466,Zainah Fitra
61,CV NOVALINDO MULIA,"Jl. Banda Aceh - Medan, Desa Grong - Grong, Kec. Grong - Grong, Kab. Pidie, Provinsi Aceh",RBR-Q,2024,,wa.me/085358763900,Chumaidi
62,BUMG Adan Seujahtra,"Jl. Sarena Jaya, Kel. Adan, Kec. Tangan-Tangan, Kab. Aceh Barat Daya",iRaya,2024,,wa.me/082361882606,Lizar
63,CV. Blanggalang Raya Jaya,"Jl. Medan - Banda Aceh, Desa/Kelurahan Leubue, Kec. Pidie, Kab. Pidie, Provinsi Aceh
Jl. Banda Aceh-Medan , Desa/Kelurahan Leubue, Kec. Pidie, Kab. Pidie, Provinsi Aceh",Press-Ie,2024,,wa.me/085277313234,Asnawi
64,CV. Pilar Ezana Vavila,"Jl. Oentung Surapati, Desa/Kelurahan Kuta Ateuh, Kec. Sukakarya, Kota Sabang, Provinsi Aceh
Jl. Nyak Arif Tapak Gajah, Desa/Kelurahan Ie Meulee, Kec. Sukajaya, Kota Sabang, Provinsi Aceh",ELNOZ,2024,,wa.me/082163180821,Endra
65,CV Sumber Air Kluet,"Desa Kotafajar, Kec. Kluet Utara, Kab.  Aceh Selatan, Provinsi Aceh
Dusun Taqwa, Desa/Kelurahan Kotafajar, Kecamatan  Kluet Utara, Kabupaten  Aceh Selatan",Kluet Air Mineral,2024,,wa.me/085261303432,Hendra
66,CV Bilqil Dua Bersaudara,"Gampong Cot Teuku Dek, desa cot teuku dek kec. seunagan timur, kab. Nagan Raya., Kec. Seunagan Timur, Kabupaten Nagan Raya",IE Teuku Dek,2025,,wa.me/082164057503,Fer Adi Sahputra
67,PERUM PERUMDA AIR MINUM TIRTA PASE,"Jalan Medan - B. Aceh No. 1, Meunasah Reudeup, Lhoksukon, Kabupaten Aceh Utara, Nangroe Aceh Darussalam",IELOEN,2025,,wa.me/085277523002,T. Edy Haryadi
68,BUM Desa Bina Bersama,"Mesjid Aree, Kel. Mesjid Aree, Kec. Delima, Kabupaten Pidie, Nangroe Aceh Darussalam",AREE-Q,2025,,wa.me/082267641915,Roni
69,CV Pante Kaca,"Jl. Meulaboh-Pante Ceuremen,  Desa Pante Ceureumen, Kec. Pante Ceureumen, Kab. Aceh Barat",IE PANCER,2025,,wa.me/082166657058,Jol Fadhli
70,BUMG Manjeng Ban Pakat,"Jl. Meulaboh-Pante Ceuremen KM. 46, Desa/Kelurahan Manjeng, Kec. Pante Ceureumen, Kab. Aceh Barat",QMJ,2025,,wa.me/085277592876,Raja Nata
71,CV Zulkarnain Abdul Wahid,"Dusun Paya Beunyot, Pante Gajah, Peusangan, Kabupaten Bireuen, Nagro Aceh Darussalam",AL 2,2026,,wa.me/081269867537,Zulkarnain
72,PT Tirta Raya Adyatma,"Jalan Lut Kucak, Kel.Lut Kucak, Kec. Wih Pesam, Kabupaten Bener Meriah, Nangroe Aceh Darussalam",JANRAYYA,2026,,,
